dataset,step,label,count,proportion
BCCC17,remove_constant_columns,SSH-Patator,5949,0.002516817919709743
BCCC17,remove_constant_columns,Botnet_ARES,5508,0.0023302459407902616
BCCC17,remove_constant_columns,DoS_Slowloris,5122,0.0021669425760217353
BCCC17,remove_constant_columns,Web_Brute_Force,2733,0.001156238590446584
BCCC17,remove_constant_columns,Web_XSS,1357,0.0005741001709608541
BCCC17,remove_constant_columns,Web_SQL_Injection,24,1.0153577084053427e-05
BCCC17,remove_constant_columns,Heartbleed,12,5.076788542026713e-06
BCCC17,encode_string_columns,Benign,1715048,0.7255780029521526
BCCC17,encode_string_columns,DoS_Hulk,346143,0.14644123469189604
BCCC17,encode_string_columns,Port_Scan,161323,0.06825022983044796
BCCC17,encode_string_columns,DDoS_LOIT,95729,0.04049965752830627
BCCC17,encode_string_columns,FTP-Patator,9531,0.004032239299504717
BCCC17,encode_string_columns,DoS_GoldenEye,8364,0.003538521613792619
BCCC17,encode_string_columns,DoS_Slowhttptest,6856,0.0029005385203445954
BCCC17,encode_string_columns,SSH-Patator,5949,0.002516817919709743
BCCC17,encode_string_columns,Botnet_ARES,5508,0.0023302459407902616
BCCC17,encode_string_columns,DoS_Slowloris,5122,0.0021669425760217353
BCCC17,encode_string_columns,Web_Brute_Force,2733,0.001156238590446584
BCCC17,encode_string_columns,Web_XSS,1357,0.0005741001709608541
BCCC17,encode_string_columns,Web_SQL_Injection,24,1.0153577084053427e-05
BCCC17,encode_string_columns,Heartbleed,12,5.076788542026713e-06
BCCC17,remove_highly_correlated_columns,Benign,1715048,0.7255780029521526
BCCC17,remove_highly_correlated_columns,DoS_Hulk,346143,0.14644123469189604
BCCC17,remove_highly_correlated_columns,Port_Scan,161323,0.06825022983044796
BCCC17,remove_highly_correlated_columns,DDoS_LOIT,95729,0.04049965752830627
BCCC17,remove_highly_correlated_columns,FTP-Patator,9531,0.004032239299504717
BCCC17,remove_highly_correlated_columns,DoS_GoldenEye,8364,0.003538521613792619
BCCC17,remove_highly_correlated_columns,DoS_Slowhttptest,6856,0.0029005385203445954
BCCC17,remove_highly_correlated_columns,SSH-Patator,5949,0.002516817919709743
BCCC17,remove_highly_correlated_columns,Botnet_ARES,5508,0.0023302459407902616
BCCC17,remove_highly_correlated_columns,DoS_Slowloris,5122,0.0021669425760217353
BCCC17,remove_highly_correlated_columns,Web_Brute_Force,2733,0.001156238590446584
BCCC17,remove_highly_correlated_columns,Web_XSS,1357,0.0005741001709608541
BCCC17,remove_highly_correlated_columns,Web_SQL_Injection,24,1.0153577084053427e-05
BCCC17,remove_highly_correlated_columns,Heartbleed,12,5.076788542026713e-06
BCCC17,encode_label,0,1715048,0.7255780029521526
BCCC17,encode_label,1,346143,0.14644123469189604
BCCC17,encode_label,2,161323,0.06825022983044796
BCCC17,encode_label,3,95729,0.04049965752830627
BCCC17,encode_label,4,9531,0.004032239299504717
BCCC17,encode_label,5,8364,0.003538521613792619
BCCC17,encode_label,6,6856,0.0029005385203445954
BCCC17,encode_label,7,5949,0.002516817919709743
BCCC17,encode_label,8,5508,0.0023302459407902616
BCCC17,encode_label,9,5122,0.0021669425760217353
BCCC17,encode_label,10,2733,0.001156238590446584
BCCC17,encode_label,11,1357,0.0005741001709608541
BCCC17,encode_label,12,24,1.0153577084053427e-05
BCCC17,encode_label,13,12,5.076788542026713e-06
